name,url,circle/coordinates/0,circle/coordinates/1
"S.B.A. Fuel Concerns, Baad Bhanjyang",https://goo.gl/maps/MRLQmScmxR22,27.7051663,85.1900696
"Kathmandu Oil Store, Gurjudhara",https://goo.gl/maps/Qto43q6ooVT2,27.6877257,85.2372432
"D.M. Oil Store, Naikap",https://goo.gl/maps/ZuihtEcvdsv,27.6865481,85.2562735
"Shyama Oil, Kalanki",https://goo.gl/maps/1AS6ZZJSg1S2,27.6927187,85.2773913
"Makalu Oil Store, Kalanki",https://goo.gl/maps/UeVEGK1nrUC2,27.694026,85.280972
"Padma Fuel, Sitapaila",https://goo.gl/maps/9zThiGEis5N2,27.7144568,85.2638411
Halchowk Fuel Station Swayambhu,https://goo.gl/maps/VZxVgE5vTv62,27.7135987,85.2567159
"Sajha Bandar, Swayambhu",https://goo.gl/maps/tocqvB6UG5N2,27.7137418,85.2567159
"Hama Oil, Swayambhu ",https://goo.gl/maps/VZxVgE5vTv62,27.713892,85.29274
"City Trading, Balaju",https://goo.gl/maps/8iTxHUNRPf12,27.7320945,85.2854806
"Kot:Duku Oil, Balaju",https://goo.gl/maps/8iTxHUNRPf12,27.7266894,85.3025089
"Jay Kumari Oil Store, Sorakhutte",https://goo.gl/maps/7gFrPSKastS2,27.7189122,85.3073536
"Newa Trade, Naya Bazar",https://goo.gl/maps/5rUQi9D99RC2,27.7191861,85.3074291
"Aakash Jogini, Samakhusi, ",https://goo.gl/maps/8mrHS8woGMU2,27.7356036,85.3163453
"Taleju Bawani Trade , Samakhusi",https://goo.gl/maps/Nv1f56hQFWt,27.7349104,85.3164741
"Mahalaxmi Fuel Center, Basundhara",https://goo.gl/maps/CLQYXKVzsR42,27.7420223,85.3312075
"Basundhara Oil Store, Basundhara",https://goo.gl/maps/TCDDUNkPrh52,27.7383897,85.3240982
"Khadka Oil Suppliers, Bansbari",https://goo.gl/maps/xTKrZx5rmEt,27.7431741,85.3378071
"Ganpati Trade Concerns, Bafal",https://goo.gl/maps/i2xqBhLms6q,27.7011369,85.2836477
"Sita Fuel, Maharajgunj",https://goo.gl/maps/BNxqYfnnniJ2,27.6886677,85.2842893
"Elite Fuel Concerns, Dhumbarahi",https://goo.gl/maps/5zQRu41KqqG2,27.7261762,85.3090277
"Jubi E. Pvt., Jorpati",https://goo.gl/maps/PrWaXxSxrG52,27.7256255,85.3713762
"Baral Oil Store, Jorpati",https://goo.gl/maps/W9V4M19Qkno,27.7221474,85.338082
"New Lama Enterprise, Jorpati",https://goo.gl/maps/SwuiUZDGNq82,27.7219977,85.3744472
"Bagmati Petrol Center, Jorpati",https://goo.gl/maps/S2EKZi8jmRB2,27.7256255,85.3713762
"Jay Chamunda Mai, Thali",https://goo.gl/maps/PeivP78zbxu,27.7259251,85.4026394
"Aradhana Traders, Sifal",https://goo.gl/maps/g1ydvm7Fp1F2,27.7131165,85.339931
"Jay Shree Chandra Oil Store, Kalopul",https://goo.gl/maps/GpKWhHqPnmL2,27.7122427,85.3336452
"Jay Shree Goma Ganesh Oil Stores, Baluwatar",https://goo.gl/maps/PL7xxhQB9LD2,27.7214015,85.3256462
"Valley Fuel Center, Gyaneshwor",https://goo.gl/maps/vGkbnjDKfuC2,27.7090017,85.3276383
"Maitidevi Petroleum, Maitidevi",https://goo.gl/maps/QdZCuHDLFfE2,27.7028109,85.3335419
"Shrestha Oil D., Tilganga",https://goo.gl/maps/7VJ5U2qerjq,27.7058507,85.3486253
"Shree Harisiddhi Oil Store, Minbhawan",https://goo.gl/maps/hgAmcD1LKio,27.6868314,85.3402938
"Three Brothers Oil Store, New Baneshwor",https://goo.gl/maps/fXLmDuJFgGw,27.6832705,85.3470086
"Mali Oil Store, Kalimati",https://goo.gl/maps/tUE841dAUkk,27.6986746,85.2976383
"Kanak Trade, Teku",https://goo.gl/maps/ireqPNiFgi92,27.6949662,85.3006405
"National Trading Ltd., Teku",https://goo.gl/maps/DemdYcvE4A82,27.6971794,85.3014155
"Mayaram Bholaram Petrol Pump, Tripureshwor",https://goo.gl/maps/FzmNw188uzT2,27.6937152,85.3122139
"Jayanti Oil Store, Tripureshwor",https://goo.gl/maps/JSUXyvEwdxN2,27.6935627,85.3122537
"Chunnilal Harinarayan Oil Store, Baghbazar",https://goo.gl/maps/P1Q6wVyHJCn,27.7061905,85.2465819
"Ripumardini Petrol Station, Badrakali",https://goo.gl/maps/jUJhwWHbL582,27.6954857,85.3131226
"Prahari Kalyan Kosh Petrol pump, Nakshal",https://goo.gl/maps/HuzoSX35ta92,27.2024906,84.9784682
"Sita Trade, Khasi Bazar",https://goo.gl/maps/7hxeLaYUkbN2,27.6894706,85.2846926
"Raskatar Trading, Kirtipur",https://goo.gl/maps/hhB2EAMm9Pv,27.6679339,85.256463
"Taudaha Trading, Taudaha",https://goo.gl/maps/zchGLpRSUTH2,27.6511166,85.2800967
"Sajha Sewa, Balkhu",https://goo.gl/maps/x5oyu4un5dw,27.686454,85.294014
"Indraheni Oil Store, Sanepa",https://goo.gl/maps/fEQRaQ6wSbC2,27.6856712,85.2998475
"Jawlakhel Petrol Pump, Jawlakhel",https://goo.gl/maps/2K8G6uwpXpP2,27.667656,85.3046925
"Sajha Sewa, Pulchowk",https://goo.gl/maps/bVZUChouTiy,27.6778404,85.3144268
"S.P. International, Pulchowk",https://goo.gl/maps/7H5QoTRpwtz,27.6752297,85.3132393
"Mahayan Petrol Pump, Kumaripati",https://goo.gl/maps/R3rsyDMwgSD2,27.6698496,85.3193892
"Shakti Devi Petrol Station, Lagankhel",https://goo.gl/maps/BJidZkUJqrJ2,27.6643694,85.3217031
"Manjushree Petrol Pump, Lagankhel",https://goo.gl/maps/tZWvSmrbJcr,27.6650142,85.3196606
"Lalit Marketing, Gwarko",https://goo.gl/maps/VPHoPzzsHHA2,27.6660121,85.3306604
"New Badrakali, Gwarko",https://goo.gl/maps/9py4i8R892F2,27.6613172,85.3389777
"Namaste Oil Store, Gwarko",https://goo.gl/maps/xvSdY63YrGL2,27.6686847,85.3340253
"Bandana Oil Stores, Pepsicola",https://goo.gl/maps/bsqYLJYfNHn,27.6838451,85.355752
"Narayan Sea Oil Store, Pepsicola",https://goo.gl/maps/RAQq9epm9yp,27.6851504,85.3312788
" Sambridhi Oil, Gothatar",https://goo.gl/maps/cRXyvazYUX42,27.7041985,85.3718161
"Siddhartha Fuel, Lokanthali",https://goo.gl/maps/8CP3LheA6Fy,27.6744783,85.357573
"Araniko Petrol Center, Kaushaltar",https://goo.gl/maps/htpUqPtGV9T2,27.6747016,85.3614929
"Madhyapur Oil Suppliers, Gathaghar",https://goo.gl/maps/zc9vWU6Hx9S2,27.6801675,85.3814395
"Jagul Oil Store, Thimi",https://goo.gl/maps/TFbj56QYWR12,27.6852018,85.361413
"Guheshwori Fuel Station, Thimi",https://goo.gl/maps/huhSTt6sCUA2,27.6744027,85.3672834
"Bagmati Oil Store, Thimi",https://goo.gl/maps/prCzedMyZM32,27.6736089,85.3846639
"Shanti Oil, Sallaghari",https://goo.gl/maps/aNXVoTeuFq12,27.6730828,85.4045981
"Suriya Binayak Oil Store, Sallaghari",https://goo.gl/maps/9SU7hv87rTk,27.6721297,85.4042097
"Hanuman Oil Store, Jagati",https://goo.gl/maps/Grdjp9DmEYA2,27.6644749,85.4353279
"New Maheswari Fuel Station, Jagati",https://goo.gl/maps/aifAitoeP462,27.6644749,85.4353279
" Bhakunde Besi Oil Store, Bhakunde Besi",https://goo.gl/maps/75SxeqTxLkM2,27.5579514,85.6335783

